route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q49,LGPD6-LG_D6-Saturday-04,47371198-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484909,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371199-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484909,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371200-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484909,Q490175
Q33,LGPD6-LG_D6-Saturday-04,47371201-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484898,Q330198
Q33,LGPD6-LG_D6-Saturday-04,47371202-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484893,Q330209
Q49,LGPD6-LG_D6-Saturday-04,47371203-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484987,Q490179
Q33,LGPD6-LG_D6-Saturday-04,47371204-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484893,Q330198
Q33,LGPD6-LG_D6-Saturday-04,47371205-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484893,Q330209
Q33,LGPD6-LG_D6-Saturday-04,47371206-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484893,Q330198
Q49,LGPD6-LG_D6-Saturday-04,47371207-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484993,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371208-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484993,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371209-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484987,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371210-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484982,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371211-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484971,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371212-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8485009,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371213-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8485009,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371214-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8485009,Q490179
Q33,LGPD6-LG_D6-Saturday-04,47371215-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484944,Q330209
Q49,LGPD6-LG_D6-Saturday-04,47371216-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8485009,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371217-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484963,Q490179
Q33,LGPD6-LG_D6-Saturday-04,47371218-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484944,Q330198
Q49,LGPD6-LG_D6-Saturday-04,47371219-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8485023,Q490179
Q33,LGPD6-LG_D6-Saturday-04,47371220-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8484970,Q330209
Q33,LGPD6-LG_D6-Saturday-04,47371221-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484970,Q330198
Q33,LGPD6-LG_D6-Saturday-04,47371222-LGPD6-LG_D6-Saturday-04,"LAGUARDIA AIRPORT TERMINAL A",0,8485007,Q330209
Q49,LGPD6-LG_D6-Saturday-04,47371223-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484989,Q490175
Q33,LGPD6-LG_D6-Saturday-04,47371224-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS via 82 ST",1,8484961,Q330198
Q49,LGPD6-LG_D6-Saturday-04,47371225-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8485023,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371226-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8485023,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371227-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484989,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371228-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484978,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371229-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484989,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371230-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484973,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371231-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484924,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371232-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484939,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371233-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484939,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371234-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484984,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371235-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484984,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371236-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484926,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371237-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484926,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371238-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484917,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371239-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484917,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371240-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484971,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371241-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484971,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371242-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484971,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371243-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484971,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371244-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484924,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371245-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484924,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371246-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484983,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371247-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484917,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371248-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484983,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371249-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484909,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371250-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484909,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371251-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484917,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371252-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484909,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371253-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484971,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371254-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484909,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371255-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484909,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371256-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484936,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371257-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484984,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371258-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484984,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371259-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484939,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371260-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484939,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371261-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484939,Q490179
Q49,LGPD6-LG_D6-Saturday-04,47371262-LGPD6-LG_D6-Saturday-04,"JACKSON HEIGHTS",1,8484984,Q490175
Q49,LGPD6-LG_D6-Saturday-04,47371263-LGPD6-LG_D6-Saturday-04,"EAST ELMHURST",0,8484984,Q490179
